barcode,length,width,height
26635322805,20.5,14.0,0.3
26635323062,20.5,14.0,0.3
26635323833,25.5,18.5,0.3
26635324113,20.0,14.0,0.5
26635326353,18.5,14.0,0.3
26635326568,20.5,14.0,0.3
26635327213,20.0,14.0,2.0
26635328166,18.5,14.0,0.3
26635328517,25.5,18.5,0.3
26635331982,20.5,14.0,0.3
26635332002,20.0,14.0,0.5
26635335294,25.5,14.0,0.5
26635335676,20.5,14.0,0.3
26635336017,25.5,18.5,0.3
26635336130,25.5,18.5,0.5
26635336178,18.5,14.0,0.3
26635336413,19.0,14.0,0.5
26635336420,18.5,14.0,0.3
26635336437,19.0,14.5,0.3
26635336581,26.0,19.0,0.4
26635336734,20.0,14.0,0.3
26635336895,18.5,14.0,0.3
26635336987,20.5,14.0,0.5
26635337410,19.5,14.5,0.4
26635337441,20.5,14.5,0.3
26635337748,18.5,14.0,0.3
26635337823,18.5,14.0,0.3
26635338066,20.5,14.5,0.5
26635338233,20.5,14.0,0.3
26635339407,20.5,14.0,0.5
26635339421,25.5,18.5,0.3
26635339438,20.5,14.0,0.3
26635339506,20.5,14.0,0.3
26635339520,25.5,18.5,1.0
26635339537,20.5,14.0,0.3
26635340885,20.5,14.0,0.3
26635341301,20.0,14.0,0.4
26635342698,25.5,18.5,0.3
26635343350,20.0,14.0,0.3
26635343435,26.0,19.0,0.3
26635343503,20.5,14.5,0.5
26635343527,26.0,19.0,0.5
26635344586,18.5,14.0,0.5
26635344609,18.5,14.0,0.5
26635344951,26.0,18.5,0.5
26635345446,18.5,13.5,0.5
26635345491,18.5,14.0,0.3
26635345583,18.5,14.5,0.3
26635345712,13.5,14.0,0.5
26635346450,25.5,18.5,0.5
26635346542,25.5,18.5,2.0
26635346559,20.0,14.0,0.5
26635346658,25.5,18.5,0.3
26635346696,20.5,14.0,0.5
26635346726,20.5,14.0,0.5
26635346740,25.5,18.5,0.5
26635346887,25.5,18.5,0.3
26635348416,25.5,18.5,0.3
26635349352,20.5,14.0,0.3
26635351423,20.5,14.0,0.5
26635351874,20.5,14.0,0.3
26635352741,20.5,14.0,0.3
26635353007,20.4,14.0,0.3
26635353649,20.5,14.0,0.3
26635353700,25.5,18.5,0.5
26635353892,28.5,18.5,0.5
26635355315,20.0,14.0,0.5
26635355322,20.5,14.0,0.3
26635355377,25.5,18.5,0.5
26635355650,18.5,14.0,0.3
26635355995,20.5,14.0,0.3
26635356008,20.5,14.0,0.3
26635357708,25.0,14.0,0.5
26635358675,26.0,18.5,0.5
26635359009,19.0,14.0,0.5
26635362207,20.0,14.0,0.5
26635363785,20.5,14.0,0.3
26635363884,20.5,14.0,0.3
26635364263,20.0,14.0,0.5
26635365277,20.5,14.0,0.3
26635365284,25.5,18.5,0.3
26635365307,28.5,18.0,0.3
26635365925,18.5,14.0,0.3
26635368520,18.5,14.0,0.3
26635370660,20.5,14.0,0.3
26635371155,18.5,14.0,0.3
26635371209,20.5,14.0,0.5
26635371261,20.5,14.0,0.3
26635371278,26.0,18.5,0.5
26635372763,18.5,14.0,0.5
26635372770,25.5,18.5,2.5
26635376686,20.5,14.0,0.3
26635376716,18.5,14.0,0.3
26635377997,18.5,14.0,0.3
26635378079,20.5,14.0,0.5
26635378093,20.5,14.0,0.3
26635378567,18.5,14.0,0.5
26635378574,20.0,14.0,0.5
26635379823,26.0,19.0,0.5
26635379977,20.0,14.0,0.5
26635384773,26.0,19.0,0.5
26635384841,18.5,14.0,0.5
26635385572,20.5,14.0,0.3
26635386920,20.5,14.0,0.3
26635389471,18.5,14.0,0.3
26635389501,20.0,14.0,0.5
26635390224,18.5,14.0,0.3
26635390415,18.5,14.0,0.3
26635390903,18.5,14.0,0.3
26635391535,18.5,14.0,1.0
26635392525,18.5,14.0,0.3
26635393768,18.5,14.0,0.3
26635393799,18.5,14.0,0.3
26635395588,18.5,14.0,0.3
26635396059,28.0,18.5,0.3
26635396233,18.5,14.0,0.5
26635396288,18.5,14.0,0.5
26635396332,19.0,14.0,0.5
26635396349,19.0,14.5,0.3
26635396356,18.5,14.0,0.3
26635396837,18.5,14.0,0.5
26635397148,18.5,14.0,0.3
26635397155,18.5,14.0,0.3
26635397162,28.5,18.5,0.5
26635397247,19.0,14.0,0.5
26635397308,19.0,14.0,0.3
26635397476,18.5,14.0,0.5
26635397483,18.5,14.0,0.3
26635397988,18.5,14.0,0.3
26635397995,18.5,14.0,0.5
26635398015,18.5,14.0,0.3
26635398039,18.5,14.0,0.3
26635398671,18.5,14.0,0.5
26635398756,18.5,14.0,0.3
26635398763,18.5,14.0,0.3
26635399555,18.5,14.0,0.5
26635403757,28.0,18.5,1.0
26635403863,18.5,14.0,0.3
26635403887,18.5,14.0,0.3
26635404846,18.5,14.0,0.3
26635406680,18.5,14.0,0.3
26635406994,18.5,14.0,0.3
26635407045,18.5,14.5,0.5
26635407366,18.5,14.0,0.6
26635407373,18.5,14.0,0.5
26635408097,18.5,14.0,0.3
26635409643,18.5,14.0,0.3
26635409780,18.5,14.0,0.5
26635409797,18.5,14.0,0.5
26635411714,18.5,14.0,0.3
26635412230,18.5,14.0,0.5
26635412254,18.5,14.0,0.5
26635412278,18.5,14.0,0.3
26635412490,18.5,13.0,0.5
26635415712,18.5,14.0,0.5
26635421089,18.5,14.0,0.3
26635421096,18.0,14.0,0.5
26635421102,18.5,14.0,0.5
26635421119,19.0,14.5,0.5
2700000032015,26.5,23.0,10.0
2700000068007,21.0,21.0,0.5
2700000120071,8.0,7.0,5.0
2700000589175,23.0,13.0,3.0
2700001505228,10.5,7.0,2.0
27202173,8.0,4.0,7.5
27500736,4.0,6.0,4.5
27500873,13.0,8.0,2.0
2765970000312,7.5,7.5,4.0
27700419,6.0,4.5,3.0
27700846,8.0,5.0,3.0
27700853,6.0,4.0,3.0
28199256589,30.0,30.0,18.0
2820182130252,17.0,9.0,4.0
2820182130283,10.0,14.0,7.0
2820182132850,15.0,10.0,2.5
2830229002534,8.5,7.5,1.5
2830229002565,9.0,7.0,2.0
2904547582402,17.0,12.0,3.4
2906664016723,7.5,7.5,24.0
29116315365,9.5,1.7,25.2
29116509009,9.5,2.0,25.2
29116579897,9.5,1.5,25.2
2915174018332,23.5,23.5,2.5
2929490732674,27.0,7.0,4.5
2950892150520,27.5,4.3,19.0
3000693641,9.5,9.0,13.0
3014260278328,23.0,4.0,2.0
3026980243036,19.0,6.0,2.0
3026980243050,19.0,7.3,0.7
3026980611262,21.0,3.5,21.0
3026980654023,19.0,9.5,2.0
3026980654078,19.5,6.0,2.0
3026980654085,19.5,19.5,2.0
3026980671037,19.5,7.0,1.5
3026980798055,9.0,5.0,17.0
3026980798086,29.5,3.3,27.3
3026980844127,7.5,1.0,20.0
3026980844172,7.8,2.0,20.5
3026981101229,29.5,3.3,27.5
3049649384383,3.5,3.5,8.5
3065500624153,19.0,11.0,7.0
3069516617116,19.0,7.2,1.4
3069516617697,8.5,1.5,11.0
3069516666220,12.0,8.5,9.5
307822361853,19.5,13.5,0.5
3086120017248,6.0,1.0,15.5
3086120600020,2.5,1.5,8.0
3086123174115,18.0,14.0,0.5
3086123304888,24.0,6.0,0.7
3086123307469,20.0,8.0,1.4
3086123340299,24.0,6.5,0.7
3086123340343,19.5,6.5,2.0
3086123340442,20.0,6.0,2.0
3086123340459,20.0,6.0,2.0
3086123342804,20.0,8.0,2.0
3086123379916,20.0,7.0,2.0
3086123446199,24.0,6.0,0.7
3086123449268,12.0,1.2,19.2
3086123494626,18.0,12.5,0.5
3086123499102,20.0,10.0,0.5
3086126100746,20.0,8.0,2.0
3086126732992,2.0,2.0,9.5
3111221222144,6.0,6.0,10.5
3112378810055,28.5,22.0,3.5
3112378810505,27.0,8.0,1.0
3129710008896,10.0,7.5,10.0
31300476,15.0,4.5,1.5
3131910517443,9.5,2.6,14.5
3131910517467,14.5,11.5,1.5
31408103,67.0,9.0,6.0
31410007,9.0,2.0,6.5
31410328,6.0,6.0,6.0
31410694,19.5,4.0,2.5
31410717,4.0,4.0,4.0
31410915,9.0,9.0,9.0
31411219,10.2,4.5,24.5
31411424,19.0,11.0,3.5
31411431,13.2,2.0,18.0
31411448,17.0,10.5,1.5
31411486,17.0,16.0,3.0
3148950015242,21.0,14.7,0.6
3148950015334,30.0,21.0,0.4
3148950060112,33.0,24.0,2.0
3148950074775,30.5,21.0,2.0
3148950074805,43.0,30.0,2.0
3148950074959,31.0,21.0,1.5
3148950083470,30.0,21.0,0.4
3148950121691,22.0,15.0,1.5
3148957771288,31.0,21.0,2.5
3148957873029,29.6,20.8,2.0
3148957873036,42.0,29.0,2.0
3148958073237,25.0,18.0,0.8
3148959926075,50.0,4.0,4.0
3148959926099,50.0,4.0,4.0
3148959926136,50.0,4.0,4.0
3148959926174,50.0,4.0,4.0
3148959926198,50.0,4.0,4.0
3148959926204,4.0,4.0,50.0
3148959926570,50.0,4.0,4.0
31512268,13.0,6.5,12.0
31521,14.5,11.5,2.0
3154140017002,12.5,9.5,5.0
3154140176105,12.5,9.5,5.0
3154140176112,4.0,4.0,7.5
3154140177102,12.5,9.5,5.0
3154140178116,6.0,5.5,11.5
3154140279004,33.0,15.0,0.3
3154140378004,7.3,1.0,18.0
3154140379100,7.3,1.0,18.0
3154140460129,5.0,3.0,3.0
3154140491109,12.5,9.0,3.0
3154140491307,12.5,9.0,3.0
3154141232114,5.5,5.5,3.0
3154141273117,12.5,6.5,2.0
3154141342103,12.5,6.5,0.5
3154141461194,35.5,4.0,0.3
3154142243201,21.0,9.0,1.5
3154142421807,13.0,13.0,0.2
3154142423603,17.0,13.0,0.2
3154142428301,37.0,17.0,0.5
3154142440303,39.5,5.0,0.3
3154142456106,4.5,0.3,36.0
3154142793157,35.5,4.5,0.3
3154142910103,19.0,9.0,2.0
3154143534100,19.5,10.0,4.0
3154144642101,13.0,7.0,1.5
3154144643108,7.4,1.0,16.7
3154144669108,21.5,8.5,1.5
3154144720106,18.0,7.5,3.0
3154144721103,7.3,1.0,18.0
3154144731102,7.3,1.5,18.0
3154145860108,12.5,9.5,2.2
3154146347530,6.5,2.5,12.0
3154146347547,12.5,6.5,2.5
3154146347554,12.5,9.5,2.0
3154148105107,23.0,9.0,2.0
3154148105206,21.5,12.6,2.0
3154148322184,15.0,1.0,21.0
3154148361121,22.0,2.0,14.0
